team,rank,country,level,elo,from,to,league
Puskas Akademia,,HUN,1,1363.62231445,2026-05-02,2026-05-30,
KFUM Oslo,,NOR,1,1363.44897461,2026-05-11,2026-05-30,
Lillestrom,,NOR,1,1363.40368652,2026-05-11,2026-05-30,
Leonesa,,ESP,2,1363.0390625,2026-05-10,2026-05-30,
Kocaelispor,,TUR,1,1361.50305176,2026-05-10,2026-05-30,
Akron Togliatti,,RUS,1,1360.69018555,2026-03-16,2026-05-30,
Varazdin,,CRO,1,1357.82275391,2026-05-10,2026-05-30,
Padova,,ITA,2,1355.43701172,2026-05-09,2026-05-30,
CSKA Sofia,,BUL,1,1355.23095703,2026-05-09,2026-05-13,
Debrecen,,HUN,1,1353.97338867,2026-05-04,2026-05-30,
Bari,,ITA,2,1353.79467773,2026-05-09,2026-05-30,
Muenster,,GER,2,1353.73974609,2026-05-11,2026-05-30,
Lok Zagreb,,CRO,1,1353.19470215,2026-05-10,2026-05-30,
Kristiansund,,NOR,1,1353.01513672,2026-05-11,2026-05-30,
Pescara,,ITA,2,1352.59155273,2026-05-09,2026-05-30,
AVS Futebol,,POR,1,1352.07373047,2026-05-11,2026-05-30,
FK Astana,,KAZ,0,1351.59240723,2026-01-29,2026-05-30,
RAAL,,BEL,1,1351.29174805,2026-05-10,2026-05-30,
Nancy,,FRA,2,1350.84094238,2026-05-10,2026-05-30,
Entella,,ITA,2,1350.19641113,2026-05-09,2026-05-30,
Dender,,BEL,1,1349.24645996,2026-05-10,2026-05-30,
Maccabi Haifa,,ISR,1,1347.22485352,2026-05-10,2026-05-30,
Pardubice,,CZE,1,1346.9642334,2026-05-11,2026-05-30,
Banik Ostrava,,CZE,1,1346.5625,2026-05-10,2026-05-12,
Eyupspor,,TUR,1,1345.64257812,2026-05-10,2026-05-30,
Bohemians Praha,,CZE,1,1344.51196289,2026-05-11,2026-05-30,
OFI,,GRE,1,1344.3729248,2026-05-11,2026-05-30,
Orenburg,,RUS,1,1343.03881836,2026-03-14,2026-05-30,
Partizan,,SRB,1,1342.41906738,2026-05-10,2026-05-30,
Volendam,,NED,1,1341.8782959,2026-05-11,2026-05-30,
Dynamo Makhachkala,,RUS,1,1339.20922852,2026-03-14,2026-05-30,
Vejle,,DEN,1,1338.50366211,2026-05-11,2026-05-30,
Sheffield Weds,,ENG,2,1338.11279297,2026-05-03,2026-05-30,
Nizhny Novgorod,,RUS,1,1337.80126953,2026-03-16,2026-05-30,
Sheriff Tiraspol,,MOL,0,1337.35595703,2026-01-01,2026-05-30,
Zalaegerszegi,,HUN,1,1335.47644043,2026-05-02,2026-05-30,
Maribor,,SVN,1,1334.22277832,2026-05-10,2026-05-30,
Trnava,,SLK,0,1333.72814941,2026-01-01,2026-05-30,
Wolfsberg,,AUT,1,1333.65039062,2026-05-10,2026-05-30,
Zilina,,SLK,0,1333.45056152,2026-01-01,2026-05-30,
H Tel Aviv,,ISR,1,1333.1138916,2026-05-10,2026-05-12,
Kayseri,,TUR,1,1331.94555664,2026-05-10,2026-05-30,
Karvina,,CZE,1,1331.0255127,2026-05-11,2026-05-30,
Metalist 1925,,UKR,1,1330.0982666,2026-05-10,2026-05-12,
Osijek,,CRO,1,1330.08508301,2026-05-11,2026-05-30,
Teplice,,CZE,1,1328.1394043,2026-05-10,2026-05-12,
LNZ,,UKR,1,1326.53771973,2026-05-10,2026-05-30,
Reggiana,,ITA,2,1325.35375977,2026-05-09,2026-05-30,
Kosice,,SLK,0,1324.39245605,2026-01-01,2026-05-30,
Arka,,POL,1,1323.94714355,2026-05-09,2026-05-13,
Antalyaspor,,TUR,1,1322.84020996,2026-05-10,2026-05-30,
Zira,,AZE,0,1319.08618164,2026-02-25,2026-05-30,
Olimpija Ljubljana,,SVN,1,1317.77844238,2026-05-10,2026-05-30,
Genclerbirligi,,TUR,1,1315.87072754,2026-05-10,2026-05-30,
Nakchivan,,AZE,0,1313.20251465,2026-02-25,2026-05-30,
Shamrock,,IRL,0,1313.01416016,2026-01-01,2026-05-30,
CSKA 1948 Sofia,,BUL,1,1312.79223633,2026-05-09,2026-05-13,
Sabah,,AZE,0,1311.19018555,2026-02-25,2026-05-30,
Breda,,NED,1,1308.26611328,2026-05-11,2026-05-30,
Zuerich,,SUI,1,1307.39770508,2026-05-10,2026-05-12,
Arges Pitesti,,ROM,1,1306.64868164,2026-03-14,2026-05-30,
Fatih Karaguemruek,,TUR,1,1305.32641602,2026-05-10,2026-05-30,
UTA Arad,,ROM,1,1305.11425781,2026-05-09,2026-05-30,
Nieciecza,,POL,1,1304.40112305,2026-05-11,2026-05-30,
Karpaty,,UKR,1,1302.94995117,2026-05-09,2026-05-12,
Amiens,,FRA,2,1302.1685791,2026-05-10,2026-05-30,
Ried,,AUT,1,1301.83740234,2026-05-10,2026-05-30,
Asteras Tripolis,,GRE,1,1301.39538574,2026-05-10,2026-05-12,
Dundee United,,SCO,1,1301.00769043,2026-05-10,2026-05-30,
HNK Gorica,,CRO,1,1300.91833496,2026-05-11,2026-05-30,
BW Linz,,AUT,1,1300.86437988,2026-05-10,2026-05-30,
Kryvbas,,UKR,1,1300.23718262,2026-05-09,2026-05-12,
Altach,,AUT,1,1298.19042969,2026-05-10,2026-05-30,
Sochi,,RUS,1,1297.66748047,2026-03-15,2026-05-30,
Kuopio,,FIN,0,1296.51391602,2026-02-27,2026-05-30,
Otelul Galati,,ROM,1,1296.07861328,2026-05-10,2026-05-30,
Bravo,,SVN,1,1294.92614746,2026-05-10,2026-05-30,
Start,,NOR,1,1294.83154297,2026-05-04,2026-05-30,
Kairat,,KAZ,0,1294.38867188,2026-01-29,2026-05-30,
Noah,,ARM,0,1294.14245605,2026-02-27,2026-05-30,
Panetolikos,,GRE,1,1294.14038086,2026-05-10,2026-05-12,
Heracles,,NED,1,1293.95898438,2026-05-11,2026-05-30,
Viitorul,,ROM,1,1293.85339355,2026-05-10,2026-05-30,
Wattens,,AUT,1,1292.03271484,2026-05-10,2026-05-30,
Ujpest,,HUN,1,1291.93566895,2026-05-04,2026-05-30,
Falkirk,,SCO,1,1291.8560791,2026-05-10,2026-05-30,
Kolos,,UKR,1,1291.76928711,2026-05-09,2026-05-13,
Aalesund,,NOR,1,1291.39440918,2026-05-04,2026-05-30,
Istra 1961,,CRO,1,1291.16699219,2026-05-11,2026-05-30,
Tescoma Zlin,,CZE,1,1290.1361084,2026-05-10,2026-05-12,
Grasshoppers,,SUI,1,1289.90795898,2026-05-10,2026-05-12,
Novi Sad,,SRB,1,1288.29553223,2026-05-09,2026-05-30,
Brommapojkarna,,SWE,1,1286.93847656,2026-05-09,2026-05-30,
Pyunik,,ARM,0,1286.7109375,2026-02-27,2026-05-30,
Kifisias,,GRE,1,1286.48095703,2026-05-10,2026-05-12,
Nyiregyhaza,,HUN,1,1285.8458252,2026-05-03,2026-05-30,
Vikingur,,ISL,0,1285.12316895,2026-01-01,2026-05-30,
Slovacko,,CZE,1,1284.80163574,2026-05-10,2026-05-12,
FK Riga,,LAT,0,1283.32739258,2026-01-01,2026-05-30,
MTK,,HUN,1,1283.06335449,2026-05-03,2026-05-30,
Zrinjski Mostar,,BHZ,0,1283.0456543,2026-02-27,2026-05-30,
NFC Volos,,GRE,1,1282.53857422,2026-05-11,2026-05-30,
Slaven Belupo,,CRO,1,1282.4810791,2026-05-11,2026-05-30,
Vaduz,,LIE,0,1280.60302734,2026-02-27,2026-05-30,
GAK,,AUT,1,1279.8104248,2026-05-10,2026-05-30,
Cherno More,,BUL,1,1279.59606934,2026-05-10,2026-05-12,
St Patricks,,IRL,0,1278.34521484,2026-01-01,2026-05-30,
Botosani,,ROM,1,1277.43041992,2026-05-11,2026-05-30,
Halmstad,,SWE,1,1272.30554199,2026-05-11,2026-05-30,
Degerfors,,SWE,1,1271.91064453,2026-05-10,2026-05-16,
Netanya,,ISR,1,1271.08190918,2026-05-11,2026-05-30,
Aberdeen,,SCO,1,1270.58215332,2026-05-10,2026-05-30,
Zorya,,UKR,1,1269.49487305,2026-05-10,2026-05-12,
Aarau,,SUI,1,1267.46691895,2026-02-27,2026-05-30,
Csikszereda,,ROM,1,1267.13659668,2026-05-09,2026-05-30,
Petrolul Ploiesti,,ROM,1,1266.38818359,2026-05-11,2026-05-30,
Vaesteras,,SWE,1,1264.99938965,2026-05-10,2026-05-30,
Dukla,,CZE,1,1264.53100586,2026-05-10,2026-05-12,
Arda,,BUL,1,1262.61486816,2026-05-09,2026-05-12,
Kisvarda,,HUN,1,1261.0670166,2026-05-03,2026-05-30,
Dundee,,SCO,1,1260.76123047,2026-05-10,2026-05-30,
Kilmarnock,,SCO,1,1260.35375977,2026-05-10,2026-05-30,
Oergryte,,SWE,1,1257.30456543,2026-05-12,2026-05-30,
Hermannstadt,,ROM,1,1250.74975586,2026-05-12,2026-05-30,
Panserraikos,,GRE,1,1249.10925293,2026-05-10,2026-05-12,
HJK Helsinki,,FIN,0,1246.64978027,2026-02-27,2026-05-30,
Ararat,,ARM,0,1246.33862305,2026-02-27,2026-05-30,
Kalmar,,SWE,1,1246.30627441,2026-05-11,2026-05-30,
St Mirren,,SCO,1,1244.45678711,2026-05-10,2026-05-30,
Aktobe,,KAZ,0,1243.37133789,2026-01-29,2026-05-30,
Drita,,KOS,0,1242.50073242,2026-02-27,2026-05-30,
Shelbourne,,IRL,0,1240.87084961,2026-01-01,2026-05-30,
Zeleznicar Pancevo,,SRB,1,1240.40429688,2026-05-10,2026-05-30,
Diosgyori,,HUN,1,1237.07165527,2026-05-03,2026-05-30,
Derry City,,IRL,0,1233.97900391,2026-01-01,2026-05-30,
Botev Plovdiv,,BUL,1,1233.97180176,2026-05-10,2026-05-12,
Veres,,UKR,1,1233.67211914,2026-05-10,2026-05-12,
Larisa,,GRE,1,1232.98974609,2026-05-10,2026-05-12,
Winterthur,,SUI,1,1232.13244629,2026-05-10,2026-05-12,
Breidablik,,ISL,0,1231.23120117,2026-01-01,2026-05-30,
Hapoel Jerusalem,,ISR,1,1230.98937988,2026-05-11,2026-05-30,
Hapoel Haifa,,ISR,1,1230.6484375,2026-05-11,2026-05-30,
Bnei Sakhinin,,ISR,1,1229.75500488,2026-05-11,2026-05-30,
H Petach Tikva,,ISR,1,1228.65100098,2026-05-10,2026-05-12,
Shkendija,,MAC,0,1226.55493164,2026-02-27,2026-05-30,
RFS,,LAT,0,1221.79467773,2026-01-01,2026-05-30,
Zeljeznicar,,BHZ,0,1217.75280762,2026-02-27,2026-05-30,
Ironi Tiberias,,ISR,1,1212.53625488,2026-05-11,2026-05-30,
Valur,,ISL,0,1211.37255859,2026-01-01,2026-05-30,
FK Sarajevo,,BHZ,0,1211.23156738,2026-02-27,2026-05-30,
Borac Banja Luka,,BHZ,0,1210.83227539,2026-02-27,2026-05-30,
Lok Plovdiv,,BUL,1,1205.97167969,2026-05-09,2026-05-12,
Ilves Tampere,,FIN,0,1205.37280273,2026-02-27,2026-05-30,
Dinamo Minsk,,BLR,0,1202.69592285,2026-01-01,2026-05-30,
Ordabasy,,KAZ,0,1202.21813965,2026-01-29,2026-05-30,
Kiryat Shmona,,ISR,1,1201.35681152,2026-05-10,2026-05-30,
Akureyri,,ISL,0,1199.48815918,2026-01-01,2026-05-30,
Slavia Sofia,,BUL,1,1199.17614746,2026-05-11,2026-05-30,
OFK,,SRB,1,1199.15283203,2026-05-10,2026-05-30,
Cukaricki,,SRB,1,1198.3515625,2026-05-09,2026-05-30,
Olexandriya,,UKR,1,1198.0111084,2026-05-09,2026-05-12,
Novi Pazar,,SRB,1,1194.02612305,2026-05-10,2026-05-30,
Rukh Lviv,,UKR,1,1193.56799316,2026-05-10,2026-05-30,
Lok Sofia,,BUL,1,1193.53759766,2026-05-10,2026-05-30,
Unirea Slobozia,,ROM,1,1191.5814209,2026-05-12,2026-05-30,
Klaksvik,,FAR,0,1189.47131348,2026-01-01,2026-05-30,
Kragujevac,,SRB,1,1187.92358398,2026-05-11,2026-05-30,
Radomlje,,SVN,1,1187.16796875,2026-05-10,2026-05-30,
Backa Topola,,SRB,1,1185.84375,2026-05-11,2026-05-30,
Ballkani,,KOS,0,1185.13781738,2026-02-27,2026-05-30,
Dinamo Tirana,,ALB,0,1183.72375488,2026-01-01,2026-05-30,
Seinajoki,,FIN,0,1183.17431641,2026-02-27,2026-05-30,
Obolon Kyiv,,UKR,1,1181.81262207,2026-05-10,2026-05-30,
Banants,,ARM,0,1179.43408203,2026-02-27,2026-05-30,
Auda,,LAT,0,1179.07128906,2026-01-01,2026-05-30,
Neman Grodno,,BLR,0,1179.02661133,2026-01-01,2026-05-30,
Livingston,,SCO,1,1177.6048584,2026-05-10,2026-05-30,
Ashdod,,ISR,1,1172.46374512,2026-05-11,2026-05-30,
Daugavpils,,LAT,0,1171.93493652,2026-01-01,2026-05-30,
Kazincbarcika,,HUN,1,1168.09179688,2026-05-03,2026-05-30,
Zalgiris Vilnius,,LIT,0,1167.50366211,2026-01-01,2026-05-30,
IMT,,SRB,1,1167.23327637,2026-05-11,2026-05-30,
Episentr,,UKR,1,1166.66320801,2026-05-10,2026-05-12,
Botev Vratsa,,BUL,1,1165.69104004,2026-05-11,2026-05-30,
Torpedo Kutaisi,,GEO,0,1159.65441895,2026-01-01,2026-05-30,
Radnik Surdulica,,SRB,1,1159.57324219,2026-05-10,2026-05-30,
Petrocub,,MOL,0,1159.45910645,2026-01-01,2026-05-30,
Partizani Tirana,,ALB,0,1158.83312988,2026-01-01,2026-05-30,
Egnatia,,ALB,0,1157.89331055,2026-01-01,2026-05-30,
FC Spaeri,,GEO,0,1150.32836914,2026-01-01,2026-05-30,
Dila Gori,,GEO,0,1149.45703125,2026-01-01,2026-05-30,
Saburtalo,,GEO,0,1149.44433594,2026-01-01,2026-05-30,
Vllaznia,,ALB,0,1145.86279297,2026-01-01,2026-05-30,
Vukovar,,CRO,1,1141.32226562,2026-05-09,2026-05-30,
Mura,,SVN,1,1140.62060547,2026-05-11,2026-05-30,
Metaloglobus,,ROM,1,1138.28759766,2026-05-12,2026-05-30,
Aluminij,,SVN,1,1136.16748047,2026-05-10,2026-05-30,
Mladost Lucani,,SRB,1,1133.2512207,2026-05-11,2026-05-30,
Kudrivka,,UKR,1,1132.50097656,2026-05-09,2026-05-30,
Kauno Zalgiris,,LIT,0,1131.27331543,2026-01-01,2026-05-30,
Flora Tallinn,,EST,0,1130.34924316,2026-01-01,2026-05-30,
Maccabi Bnei Raina,,ISR,1,1127.99316406,2026-05-10,2026-05-30,
Levski Krumovgrad,,BUL,1,1127.7421875,2026-02-27,2026-05-30,
Dinamo Brest,,BLR,0,1124.8527832,2026-01-01,2026-05-30,
Zimbru,,MOL,0,1121.74816895,2026-01-01,2026-05-30,
Nis,,SRB,1,1120.02685547,2026-05-11,2026-05-30,
Ivanjica,,SRB,1,1117.99780273,2026-05-11,2026-05-30,
Beroe Stara Zagora,,BUL,1,1117.53771973,2026-05-11,2026-05-30,
Hamrun,,MLT,0,1116.77966309,2026-01-01,2026-05-30,
Domzale,,SVN,1,1115.6730957,2026-03-20,2026-05-30,
Linfield,,NIR,0,1112.89929199,2026-01-01,2026-05-30,
Banga,,LIT,0,1112.11181641,2026-01-01,2026-05-30,
Primorje,,SVN,1,1110.80908203,2026-05-11,2026-05-30,
Torpedo Zhodino,,BLR,0,1109.97851562,2026-01-01,2026-05-30,
Milsami Orhei,,MOL,0,1106.4597168,2026-01-01,2026-05-30,
Hegelmann,,LIT,0,1105.8293457,2026-01-01,2026-05-30,
Spartak Varna,,BUL,1,1099.84106445,2026-05-11,2026-05-30,
Vardar,,MAC,0,1099.73193359,2026-02-27,2026-05-30,
Decic,,MNT,0,1098.27709961,2026-01-01,2026-05-30,
Septemvri Sofia,,BUL,1,1095.19165039,2026-05-11,2026-05-30,
Sileks,,MAC,0,1091.06091309,2026-02-27,2026-05-30,
Paide Linnameeskond,,EST,0,1082.51745605,2026-01-01,2026-05-30,
Sutjeska,,MNT,0,1082.15710449,2026-01-01,2026-05-30,
Rabotnicki,,MAC,0,1081.38427734,2026-02-27,2026-05-30,
Prishtine,,KOS,0,1080.05297852,2026-02-27,2026-05-30,
SK Poltava,,UKR,1,1071.06762695,2026-05-11,2026-05-30,
Nomme Kalju,,EST,0,1067.46813965,2026-01-01,2026-05-30,
The New Saints,,WAL,0,1066.42773438,2026-01-01,2026-05-30,
Lincoln,,GIB,0,1065.0925293,2026-01-01,2026-05-30,
Differdang,,LUX,0,1064.40563965,2026-01-01,2026-05-30,
Floriana,,MLT,0,1063.39416504,2026-01-01,2026-05-30,
Larne,,NIR,0,1059.32751465,2026-01-01,2026-05-30,
R Letzebuerg,,LUX,0,1055.80236816,2026-01-01,2026-05-30,
Hibernians Paola,,MLT,0,1055.26086426,2026-01-01,2026-05-30,
Blagoevgrad,,BUL,1,1053.63269043,2026-02-27,2026-05-30,
Malisheva,,KOS,0,1053.15783691,2026-02-27,2026-05-30,
Dungannon,,NIR,0,1052.24328613,2026-01-01,2026-05-30,
Dobrudzha,,BUL,1,1051.7590332,2026-05-11,2026-05-30,
Birkirkara,,MLT,0,1050.81762695,2026-01-01,2026-05-30,
FC Infonet,,EST,0,1050.10693359,2026-01-01,2026-05-30,
HB Torshavn,,FAR,0,1050.02600098,2026-01-01,2026-05-30,
Zlatibor,,SRB,1,1047.96862793,2026-05-11,2026-05-30,
Una Strassen,,LUX,0,1047.87158203,2026-01-01,2026-05-30,
Montana 1921,,BUL,1,1042.7578125,2026-05-10,2026-05-30,
Runavik,,FAR,0,1039.27258301,2026-01-01,2026-05-30,
Hebar,,BUL,1,1036.60644531,2026-02-27,2026-05-30,
Dudelange,,LUX,0,1035.68371582,2026-01-01,2026-05-30,
Podgorica,,MNT,0,1034.60522461,2026-01-01,2026-05-30,
Gota,,FAR,0,1033.25927734,2026-01-01,2026-05-30,
Cliftonville,,NIR,0,1032.94494629,2026-01-01,2026-05-30,
Escaldes,,AND,0,1002.06817627,2026-01-01,2026-05-30,
Krusevac,,SRB,1,996.298400879,2026-05-11,2026-05-30,
Penybont,,WAL,0,988.081848145,2026-01-01,2026-05-30,
Haverfordwest,,WAL,0,985.360229492,2026-01-01,2026-05-30,
St Josephs,,GIB,0,968.097045898,2026-01-01,2026-05-30,
Santa Coloma,,AND,0,954.305236816,2026-01-01,2026-05-30,
Atletic Club Escaldes,,AND,0,944.222595215,2026-01-01,2026-05-30,
FCB Magpies,,GIB,0,935.020568848,2026-01-01,2026-05-30,
SS Virtus,,SMR,0,767.627746582,2026-01-01,2026-05-30,
Tre Fiori,,SMR,0,736.193237305,2026-01-01,2026-05-30,
La Fiorita,,SMR,0,716.190124512,2026-01-01,2026-05-30,
